date,open,high,low,close,adjclose,volume
2008-04-01,133.61000061035156,140.58999633789062,132.3300018310547,138.25999450683594,107.46532440185547,4014652600
2008-05-01,138.3800048828125,144.3000030517578,137.52000427246094,140.35000610351562,109.08981323242188,3646997000
2008-06-01,139.8300018310547,140.88999938964844,127.04000091552734,127.9800033569336,99.47502899169922,5408930000
2008-07-01,126.5199966430664,129.16000366210938,120.0199966430664,126.83000183105469,99.07422637939453,7156206800
2008-08-01,127.12000274658203,131.50999450683594,124.76000213623047,128.7899932861328,100.60531616210938,4344355500
2008-09-01,130.02999877929688,130.7100067138672,110.52999877929688,115.98999786376953,90.60647583007812,8105188900
2008-10-01,115.2699966430664,116.69000244140625,83.58000183105469,96.83000183105469,76.07735443115234,11882352200
2008-11-01,96.77999877929688,100.86000061035156,74.33999633789062,90.08999633789062,70.78184509277344,8762237000
2008-12-01,87.51000213623047,92.43000030517578,81.86000061035156,90.23999786376953,70.89971160888672,6919927700
2009-01-01,90.44000244140625,94.44999694824219,80.05000305175781,82.83000183105469,65.60611724853516,6872039400
2009-02-01,81.56999969482422,87.73999786376953,73.80999755859375,73.93000030517578,58.55680847167969,7275092500
2009-03-01,72.5199966430664,83.30000305175781,67.0999984741211,79.5199966430664,62.984371185302734,8813959700
2009-04-01,78.52999877929688,89.0199966430664,78.33000183105469,87.41999816894531,69.73723602294922,6023006600
2009-05-01,87.44000244140625,93.69999694824219,86.72000122070312,92.52999877929688,73.8136215209961,5195735600
2009-06-01,93.66999816894531,96.11000061035156,88.8499984741211,91.94999694824219,73.35093688964844,5054855000
2009-07-01,92.33999633789062,99.83000183105469,87.0,98.80999755859375,79.26862335205078,4295844600
2009-08-01,99.8499984741211,104.3499984741211,98.11000061035156,102.45999908447266,82.19676208496094,3957574800
2009-09-01,101.94999694824219,108.05999755859375,99.56999969482422,105.58999633789062,84.70773315429688,3777956700
2009-10-01,103.0,110.30999755859375,101.98999786376953,103.55999755859375,83.47492218017578,4481700800
2009-11-01,104.12999725341797,111.73999786376953,103.08000183105469,109.94000244140625,88.6175537109375,3430866200
2009-12-01,110.91999816894531,113.02999877929688,109.0199966430664,111.44000244140625,89.8266372680664,2883885800
2010-01-01,112.37000274658203,115.13999938964844,107.22000122070312,107.38999938964844,87.02813720703125,3706842300
2010-02-01,108.1500015258789,111.58000183105469,104.58000183105469,110.73999786376953,89.74293518066406,4451912400
2010-03-01,111.19999694824219,118.16999816894531,111.16999816894531,117.0,94.81602478027344,3899688500
2010-04-01,117.80000305175781,122.12000274658203,117.0999984741211,118.80999755859375,96.6793212890625,3887089700
2010-05-01,119.37999725341797,120.68000030517578,104.37999725341797,109.37000274658203,88.9977035522461,7413878800
2010-06-01,108.3499984741211,113.19999694824219,102.87999725341797,103.22000122070312,83.99325561523438,5706059600
2010-07-01,103.1500015258789,112.29000091552734,101.12999725341797,110.2699966430664,90.15695190429688,4725402000
2010-08-01,111.98999786376953,113.18000030517578,104.29000091552734,105.30999755859375,86.1016616821289,4541971600
2010-09-01,106.7300033569336,115.79000091552734,106.66000366210938,114.12999725341797,93.31293487548828,4035642500
2010-10-01,114.98999786376953,119.76000213623047,113.18000030517578,118.48999786376953,97.39627838134766,3767490800
2010-11-01,119.06999969482422,122.94999694824219,117.58999633789062,118.48999786376953,97.39627838134766,3983708900
2010-12-01,120.19999694824219,126.19999694824219,120.19000244140625,125.75,103.3638687133789,2722749900
2011-01-01,126.70999908447266,130.35000610351562,125.69999694824219,128.67999267578125,106.32852935791016,2860314700
2011-02-01,129.4600067138672,134.69000244140625,129.3800048828125,133.14999389648438,110.02210998535156,2820073500
2011-03-01,133.57000732421875,133.69000244140625,125.27999877929688,132.58999633789062,109.55935668945312,4787459400
2011-04-01,133.41000366210938,136.57000732421875,129.50999450683594,136.42999267578125,113.22210693359375,2812718500
2011-05-01,137.07000732421875,137.17999267578125,131.3800048828125,134.89999389648438,111.9523696899414,3337607300
2011-06-01,134.50999450683594,134.9199981689453,126.19000244140625,131.97000122070312,109.5207748413086,4710433400
2011-07-01,132.08999633789062,135.6999969482422,127.97000122070312,129.3300018310547,107.8619613647461,3840768000
2011-08-01,130.83999633789062,130.9600067138672,110.2699966430664,122.22000122070312,101.93222045898438,9050451800
2011-09-01,122.29000091552734,123.4000015258789,111.30000305175781,113.1500015258789,94.36779022216797,6188283200
2011-10-01,112.48999786376953,129.4199981689453,107.43000030517578,125.5,105.2092514038086,5721102000
2011-11-01,122.02999877929688,128.02000427246094,116.19999694824219,124.98999786376953,104.7817153930664,5013586000
2011-12-01,124.8499984741211,127.26000213623047,120.02999877929688,125.5,105.2092514038086,3848636100
2012-01-01,127.76000213623047,133.39999389648438,126.43000030517578,131.32000732421875,110.78648376464844,2883821400
2012-02-01,132.2899932861328,138.19000244140625,132.1300048828125,137.02000427246094,115.59523010253906,2894582000
2012-03-01,137.30999755859375,141.8300018310547,134.36000061035156,140.80999755859375,118.7926025390625,3057516200
2012-04-01,140.63999938964844,142.2100067138672,135.75999450683594,139.8699951171875,118.51670837402344,3035644100
2012-05-01,139.7899932861328,141.66000366210938,129.5500030517578,131.47000122070312,111.39908599853516,4004156100
2012-06-01,129.41000366210938,136.27000427246094,127.13999938964844,136.10000610351562,115.32227325439453,3644886200
2012-07-01,136.47999572753906,139.33999633789062,132.60000610351562,137.7100067138672,117.29106140136719,2864743300
2012-08-01,138.6999969482422,143.08999633789062,135.5800018310547,141.16000366210938,120.2295150756836,2413590900
2012-09-01,141.0399932861328,148.11000061035156,140.1300048828125,143.97000122070312,122.62284851074219,2391233500
2012-10-01,144.52000427246094,147.16000366210938,140.38999938964844,141.35000610351562,121.03401947021484,2719915500
2012-11-01,141.64999389648438,143.72000122070312,134.6999969482422,142.14999389648438,121.71900939941406,3032769100
2012-12-01,142.8000030517578,145.5800018310547,139.5399932861328,142.41000366210938,121.9416732788086,2889875900
2013-01-01,145.11000061035156,150.94000244140625,144.72999572753906,149.6999969482422,129.09303283691406,2587140200
2013-02-01,150.64999389648438,153.27999877929688,148.72999572753906,151.61000061035156,130.7401123046875,2581459300
2013-03-01,151.08999633789062,156.85000610351562,150.41000366210938,156.6699981689453,135.1035614013672,2330972300
2013-04-01,156.58999633789062,159.72000122070312,153.5500030517578,159.67999267578125,138.3116455078125,2907035000
2013-05-01,159.3300018310547,169.07000732421875,158.10000610351562,163.4499969482422,141.5771484375,2781596000
2013-06-01,163.8300018310547,165.99000549316406,155.72999572753906,160.4199981689453,138.95262145996094,3533321800
2013-07-01,161.25999450683594,169.86000061035156,160.22000122070312,168.7100067138672,146.90655517578125,2330904500
2013-08-01,169.99000549316406,170.97000122070312,163.0500030517578,163.64999389648438,142.50042724609375,2283131700
2013-09-01,165.22999572753906,173.60000610351562,163.6999969482422,168.00999450683594,146.29693603515625,2226749600
2013-10-01,168.13999938964844,177.50999450683594,164.52999877929688,175.7899932861328,153.8175811767578,2901739000
2013-11-01,176.02000427246094,181.75,174.75999450683594,181.0,158.37640380859375,1930952900
2013-12-01,181.08999633789062,184.69000244140625,177.32000732421875,184.69000244140625,161.605224609375,2232775900
2014-01-01,183.97999572753906,184.94000244140625,176.8800048828125,178.17999267578125,156.7553253173828,2530650900
2014-02-01,177.97000122070312,187.14999389648438,173.7100067138672,186.2899932861328,163.89016723632812,2394184600
2014-03-01,184.64999389648438,189.02000427246094,183.75,187.00999450683594,164.5236358642578,2554084300
2014-04-01,187.6199951171875,189.6999969482422,181.30999755859375,188.30999755859375,166.3984832763672,2345902000
2014-05-01,188.22000122070312,192.8000030517578,186.00999450683594,192.67999267578125,170.25994873046875,1781093800
2014-06-01,192.9499969482422,196.60000610351562,191.97000122070312,195.72000122070312,172.94622802734375,1675047300
2014-07-01,196.1999969482422,199.05999755859375,192.97000122070312,193.08999633789062,171.43984985351562,1893710200
2014-08-01,192.55999755859375,200.82000732421875,190.5500030517578,200.7100067138672,178.20545959472656,1829885000
2014-09-01,200.97000122070312,201.89999389648438,196.0500030517578,197.02000427246094,174.92922973632812,2106462700
2014-10-01,196.6999969482422,201.82000732421875,181.9199981689453,201.66000366210938,179.88587951660156,3943068000
2014-11-01,201.9199981689453,207.8699951171875,200.05999755859375,207.1999969482422,184.8277130126953,1571091800
2014-12-01,206.39999389648438,212.97000122070312,197.86000061035156,205.5399932861328,183.34698486328125,3045171000
2015-01-01,206.3800048828125,206.8800048828125,198.5500030517578,199.4499969482422,178.89646911621094,3183506000
2015-02-01,200.0500030517578,212.24000549316406,197.86000061035156,210.66000366210938,188.95127868652344,1901638100
2015-03-01,210.77999877929688,212.05999755859375,204.1199951171875,206.42999267578125,185.1571502685547,2749923000
2015-04-01,206.38999938964844,212.47999572753906,204.50999450683594,208.4600067138672,187.81260681152344,2036685200
2015-05-01,209.39999389648438,213.77999877929688,206.75999450683594,211.13999938964844,190.2271728515625,1892519900
2015-06-01,211.94000244140625,213.33999633789062,205.27999877929688,205.85000610351562,185.46112060546875,2535242600
2015-07-01,207.72999572753906,213.17999267578125,204.11000061035156,210.5,190.57305908203125,2452758000
2015-08-01,210.4600067138672,211.30999755859375,182.39999389648438,199.16000366210938,180.30657958984375,4340428600
2015-09-01,193.1199951171875,202.88999938964844,186.92999267578125,191.6300048828125,173.48941040039062,3279512900
2015-10-01,192.0800018310547,209.44000244140625,189.1199951171875,208.88999938964844,190.0986328125,3220136500
2015-11-01,208.32000732421875,211.66000366210938,202.17999267578125,208.69000244140625,189.91661071777344,1924512800
2015-12-01,209.44000244140625,211.0,199.8300018310547,203.8699951171875,185.53024291992188,2924882300
2016-01-01,200.49000549316406,201.89999389648438,181.02000427246094,193.72000122070312,177.342529296875,3712950900
2016-02-01,192.52999877929688,196.67999267578125,181.08999633789062,193.55999755859375,177.19601440429688,2920730800
2016-03-01,195.00999450683594,206.8699951171875,194.4499969482422,205.52000427246094,188.14491271972656,2323306500
2016-04-01,204.35000610351562,210.9199981689453,203.08999633789062,206.3300018310547,189.86065673828125,1910635600
2016-05-01,206.9199981689453,210.69000244140625,202.77999877929688,209.83999633789062,193.0904998779297,1828530900
2016-06-01,209.1199951171875,212.52000427246094,198.64999389648438,209.47999572753906,192.7592010498047,2612406900
2016-07-01,209.47999572753906,217.5399932861328,207.05999755859375,217.1199951171875,200.82835388183594,1648453700
2016-08-01,217.19000244140625,219.60000610351562,214.25,217.3800048828125,201.06886291503906,1519703200
2016-09-01,217.3699951171875,219.22000122070312,212.30999755859375,216.3000030517578,200.06988525390625,2292393000
2016-10-01,215.82000732421875,216.6999969482422,211.2100067138672,212.5500030517578,197.5943603515625,1725687400
2016-11-01,212.92999267578125,221.82000732421875,208.3800048828125,220.3800048828125,204.87347412109375,2073824400
2016-12-01,220.72999572753906,228.33999633789062,219.14999389648438,223.52999877929688,207.80178833007812,1821910200
2017-01-01,225.0399932861328,229.7100067138672,223.8800048828125,227.52999877929688,212.76708984375,1482408500
2017-02-01,227.52999877929688,237.30999755859375,226.82000732421875,236.47000122070312,221.12701416015625,1365136600
2017-03-01,238.38999938964844,240.32000732421875,231.61000061035156,235.74000549316406,220.4443817138672,1921474100
2017-04-01,235.8000030517578,239.52999877929688,232.50999450683594,238.0800018310547,223.6011199951172,1549613700
2017-05-01,238.67999267578125,242.0800018310547,235.42999267578125,241.44000244140625,226.7567596435547,1492547000
2017-06-01,241.97000122070312,245.00999450683594,239.9600067138672,241.8000030517578,227.09487915039062,1572753000
2017-07-01,242.8800048828125,248.0,240.33999633789062,246.77000427246094,232.89283752441406,1055908800
